randomise_blocks,randomise_trials,display,Image_Right,Audio,Image_Left,List
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0047-CP699_1325.63-1334.91.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0047-CP699_1325.63-1334.91.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0049-CP546_1161.16-1173.5.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0049-CP546_1161.16-1173.5.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0049-CP677_1511.07-1519.48.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0049-CP677_1511.07-1519.48.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0050-CP637_1070.41-1078.63.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0050-CP637_1070.41-1078.63.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0050-CP647_712.812-722.056.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0050-CP647_712.812-722.056.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0050-CP707_930.756-939.899.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0050-CP707_930.756-939.899.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0052-CP650_880.233-892.242.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0052-CP650_880.233-892.242.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0052-CP746_1524.41-1533.42.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0052-CP746_1524.41-1533.42.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0053-CP711_686.68-696.445.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0053-CP711_686.68-696.445.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0057-CP726_1039.57-1051.56.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0057-CP726_1039.57-1051.56.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0058-CP669_894.479-903.966.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0058-CP669_894.479-903.966.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0062-CP689_1588.32-1598.83.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0062-CP689_1588.32-1598.83.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0062-CP710_900.164-911.494.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0062-CP710_900.164-911.494.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0065-CP619_2584.31-2596.52.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0065-CP619_2584.31-2596.52.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0065-CP746_1818.31-1827.88.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0065-CP746_1818.31-1827.88.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0066-CP707_1215.19-1225.44.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0066-CP707_1215.19-1225.44.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0069-CP664_1319.48-1329.01.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0069-CP664_1319.48-1329.01.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0071-CP623_806.81-815.597.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0071-CP623_806.81-815.597.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0071-CP665_1024.05-1035.37.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0071-CP665_1024.05-1035.37.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0075-CP575_837.663-846.505.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0075-CP575_837.663-846.505.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0080-CP551_1318.68-1328.75.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0080-CP551_1318.68-1328.75.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0084-CP675_1628.22-1636.69.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0084-CP675_1628.22-1636.69.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0086-CP664_1551.22-1561.14.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0086-CP664_1551.22-1561.14.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0092-CP712_1780.35-1790.2.wav,imagem_de_um_robo_H.jpeg,audio
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0092-CP712_1780.35-1790.2.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0099-CP647_1814.34-1825.79.wav,imagem_de_um_robo_H.jpeg,
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0099-CP647_1814.34-1825.79.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,audio
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0108-CP575_1772.78-1784.75.wav,imagem_de_um_robo_H.jpeg,demo
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0108-CP575_1772.78-1784.75.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,demo
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0119-CP572_895.156-904.004.wav,imagem_de_uma_pessoa_Masc.jpeg,
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0119-CP572_895.156-904.004.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,demo
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0127-CP572_1049.31-1061.16.wav,imagem_de_uma_pessoa_Masc.jpeg,demo
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0127-CP572_1049.31-1061.16.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,
,,End,,,,
